task,payload_size,memory_mb,invocation_latency_ms,input_key,output_key,input_size_bytes,output_size_bytes,download_time_ms,compute_time_ms,upload_time_ms,total_time_ms,download_bandwidth_mbs,upload_bandwidth_mbs,step,chain,run_id,error,primary_download_time_ms,primary_upload_time_ms,additional_download_time_ms,additional_upload_time_ms,additional_download_count,additional_upload_count
c_decompress,medium,512,3223.9091400000002,payloads/matrix_medium.bin.gz,intermediate/task_c_decompress_512mb_medium_1.out,49893161,52387852,544.417033,1437.311382,1179.139684,3160.868099,91.64511400000001,44.42887700000000,,,,,,,,,,
c_decompress,medium,512,3272.092581000000,payloads/matrix_medium.bin.gz,intermediate/task_c_decompress_512mb_medium_2.out,49893161,52387852,529.058656,1420.920551,1266.459677,3216.438884,94.30553800000000,41.36559000000000,,,,,,,,,,
c_decompress,medium,512,3177.4535179999998,payloads/matrix_medium.bin.gz,intermediate/task_c_decompress_512mb_medium_3.out,49893161,52387852,554.665251,1421.689615,1151.479832,3127.834698,89.95184200000000,45.49610900000000,,,,,,,,,,
c_decompress,medium,512,3356.491804000000,payloads/matrix_medium.bin.gz,intermediate/task_c_decompress_512mb_medium_4.out,49893161,52387852,555.674881,1420.813211,1329.15629,3305.644382,89.78840500000000,39.41436600000000,,,,,,,,,,
c_decompress,medium,512,3241.652012000000,payloads/matrix_medium.bin.gz,intermediate/task_c_decompress_512mb_medium_5.out,49893161,52387852,540.766861,1440.379209,1195.673261,3176.819331,92.26371800000000,43.81452200000000,,,,,,,,,,
c_decompress,medium,768,2367.767572000000,payloads/matrix_medium.bin.gz,intermediate/task_c_decompress_768mb_medium_1.out,49893161,52387852,524.29585,932.741936,859.3661,2316.403886,95.1622280000000,60.96104100000000,,,,,,,,,,
c_decompress,medium,768,2269.361973000000,payloads/matrix_medium.bin.gz,intermediate/task_c_decompress_768mb_medium_2.out,49893161,52387852,519.63705,917.192686,781.392277,2218.222013,96.0154030000000,67.04424100000000,,,,,,,,,,
c_decompress,medium,768,2348.6900329999999,payloads/matrix_medium.bin.gz,intermediate/task_c_decompress_768mb_medium_3.out,49893161,52387852,535.709705,923.806625,833.781007,2293.297337,93.1346970000000,62.83166900000000,,,,,,,,,,
c_decompress,medium,768,2242.295742000000,payloads/matrix_medium.bin.gz,intermediate/task_c_decompress_768mb_medium_4.out,49893161,52387852,518.641126,912.793611,758.46254,2189.897277,96.19977799999999,69.07111300000000,,,,,,,,,,
c_decompress,medium,768,2270.712614000000,payloads/matrix_medium.bin.gz,intermediate/task_c_decompress_768mb_medium_5.out,49893161,52387852,518.934956,927.886998,775.359771,2222.181725,96.14530800000000,67.56586299999999,,,,,,,,,,
c_decompress,medium,1024,1860.3720659999999,payloads/matrix_medium.bin.gz,intermediate/task_c_decompress_1024mb_medium_1.out,49893161,52387852,517.274625,703.860609,587.122801,1808.258035,96.45391200000000,89.22810000000000,,,,,,,,,,
c_decompress,medium,1024,1875.615358000000,payloads/matrix_medium.bin.gz,intermediate/task_c_decompress_1024mb_medium_2.out,49893161,52387852,518.295393,691.885331,610.476209,1820.656933,96.2639480000000,85.81473200000001,,,,,,,,,,
c_decompress,medium,1024,1841.8474200000001,payloads/matrix_medium.bin.gz,intermediate/task_c_decompress_1024mb_medium_3.out,49893161,52387852,524.492042,695.747238,572.006194,1792.245474,95.12663100000000,91.58616200000000,,,,,,,,,,
c_decompress,medium,1024,1914.9284359999999,payloads/matrix_medium.bin.gz,intermediate/task_c_decompress_1024mb_medium_4.out,49893161,52387852,514.510453,697.262536,648.426799,1860.199788,96.97210400000000,80.79223800000000,,,,,,,,,,
c_decompress,medium,1024,1917.4797530000001,payloads/matrix_medium.bin.gz,intermediate/task_c_decompress_1024mb_medium_5.out,49893161,52387852,517.84714,698.352208,647.527782,1863.72713,96.34727500000000,80.90440800000000,,,,,,,,,,
c_decompress,medium,1536,1533.3800320000000,payloads/matrix_medium.bin.gz,intermediate/task_c_decompress_1536mb_medium_1.out,49893161,52387852,516.958474,476.784239,484.864107,1478.60682,96.5128990000000,108.04646300000000,,,,,,,,,,
